"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"4798","DESKTOP-96QJSJR","System.Byte[]","9393","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785b1

User:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR

Process Information:
	Process ID:		0xa28
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","10/18/2023 12:59:04 PM","10/18/2023 12:59:04 PM",,,
"4798","DESKTOP-96QJSJR","System.Byte[]","9392","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785b1

User:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR

Process Information:
	Process ID:		0xa28
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","10/18/2023 12:59:03 PM","10/18/2023 12:59:03 PM",,,
"5379","DESKTOP-96QJSJR","System.Byte[]","9391","(13824)","13824","SuccessAudit","Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785d5
	Read Operation:		%%8099

This event occurs when a user performs a read operation on stored credentials in Credential Manager.","Microsoft-Windows-Security-Auditing","System.String[]","5379","10/18/2023 12:58:15 PM","10/18/2023 12:58:15 PM",,,
"4798","DESKTOP-96QJSJR","System.Byte[]","9390","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785d5

User:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR

Process Information:
	Process ID:		0x1ce0
	Process Name:		C:\Users\champuser\AppData\Local\GitHubDesktop\app-3.3.4\resources\app\git\usr\bin\uname.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","10/18/2023 12:58:00 PM","10/18/2023 12:58:00 PM",,,
"4798","DESKTOP-96QJSJR","System.Byte[]","9389","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785d5

User:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR

Process Information:
	Process ID:		0x1344
	Process Name:		C:\Users\champuser\AppData\Local\GitHubDesktop\app-3.3.4\GitHubDesktop.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","10/18/2023 12:57:53 PM","10/18/2023 12:57:53 PM",,,
"5382","DESKTOP-96QJSJR","System.Byte[]","9388","(13824)","13824","SuccessAudit","Vault credentials were read.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785d5

This event occurs when a user reads a stored vault credential.","Microsoft-Windows-Security-Auditing","System.String[]","5382","10/18/2023 12:57:42 PM","10/18/2023 12:57:42 PM",,,
"5382","DESKTOP-96QJSJR","System.Byte[]","9387","(13824)","13824","SuccessAudit","Vault credentials were read.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785d5

This event occurs when a user reads a stored vault credential.","Microsoft-Windows-Security-Auditing","System.String[]","5382","10/18/2023 12:57:40 PM","10/18/2023 12:57:40 PM",,,
"5380","DESKTOP-96QJSJR","System.Byte[]","9386","(13824)","13824","SuccessAudit","Vault Find Credential.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785d5

This event occurs when a user finds stored vault credentials.","Microsoft-Windows-Security-Auditing","System.String[]","5380","10/18/2023 12:57:32 PM","10/18/2023 12:57:32 PM",,,
"5380","DESKTOP-96QJSJR","System.Byte[]","9385","(13824)","13824","SuccessAudit","Vault Find Credential.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785d5

This event occurs when a user finds stored vault credentials.","Microsoft-Windows-Security-Auditing","System.String[]","5380","10/18/2023 12:57:30 PM","10/18/2023 12:57:30 PM",,,
"4798","DESKTOP-96QJSJR","System.Byte[]","9384","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR
	Logon ID:		0x785d5

User:
	Security ID:		S-1-5-21-2442058825-1391575396-55424733-1002
	Account Name:		champuser
	Account Domain:		DESKTOP-96QJSJR

Process Information:
	Process ID:		0xa54
	Process Name:		C:\Program Files\Google\Chrome\Application\chrome.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","10/18/2023 12:57:15 PM","10/18/2023 12:57:15 PM",,,
